,travel_mode,purpose,faretype,day_of_week,start_time_linear,age,female,driving_license,distance,dur_walking,dur_cycling,dur_driving,driving_traffic_percent,hh_vehicles,hh_income,hh_people,dur_pt,hh_region
406,pt,HBO,free,2,13.0,60,1,0,1677,0.5575,0.185833333,0.118611111,0.0608899,2,50-75k,5,0.280277778,East London
407,pt,HBO,dis,6,17.08333333,25,0,1,6013,1.333611111,0.486111111,0.470833333,0.753982,0,<5k,1,0.409166667,West London
408,drive,HBO,full,6,10.83333333,48,1,1,1792,0.419722222,0.134166667,0.106666667,0.119792,2,75-100k,3,0.311111111,West London
409,walk,HBO,full,2,14.5,29,0,1,1573,0.343888889,0.141388889,0.153055556,0.46461,0,<5k,2,0.246944444,Central London
410,pt,HBW,full,3,8.0,34,1,1,7134,1.698611111,0.576111111,0.436111111,0.674522,0,25-35k,2,0.899444444,West London
411,drive,HBO,full,4,22.0,28,1,1,6929,1.666666667,0.550277778,0.318055556,0.172926,0,25-35k,1,0.659444444,South London
412,drive,HBO,full,4,15.08333333,36,1,1,1583,0.445277778,0.148888889,0.080555556,0.0137931,2,50-75k,4,0.204166667,West London
413,pt,HBW,full,2,8.5,38,1,0,10346,2.443888889,0.825833333,0.826944444,0.799798,1,50-75k,4,0.721666667,South London
414,walk,HBE,full,3,13.08333333,43,1,0,990,0.240555556,0.071111111,0.072777778,0.259542,0,15-20k,5,0.226944444,Central London
415,drive,HBE,free,5,15.58333333,36,1,1,1066,0.299722222,0.153333333,0.131944444,0.258947,1,50-75k,4,0.218333333,Central London
416,walk,HBO,free,6,16.08333333,68,0,1,1432,0.393888889,0.111388889,0.074722222,0.115242,2,50-75k,2,0.266388889,West London
417,drive,HBO,full,1,15.83333333,29,1,1,998,0.251944444,0.099444444,0.073333333,0.170455,1,10-15k,2,0.175277778,West London
418,pt,HBW,dis,2,18.0,25,0,1,8098,2.004166667,0.6825,0.668888889,0.747508,1,>100k,3,0.578333333,Central London
419,pt,HBO,free,6,9.833333333,56,1,1,1848,0.426666667,0.138888889,0.092222222,0.542169,1,25-35k,2,0.188888889,Central London
420,drive,HBO,full,6,23.0,42,1,1,3626,0.931666667,0.314166667,0.196388889,0.18529,2,50-75k,4,0.477777778,West London
421,drive,HBO,full,1,16.5,42,1,1,2614,0.671944444,0.2125,0.139166667,0.0758483,1,25-35k,2,0.248333333,South London
422,pt,HBO,dis,3,22.25,33,0,0,4219,1.054166667,0.313055556,0.260555556,0.266525,0,25-35k,1,0.487222222,South London
423,drive,HBO,full,5,14.0,36,1,1,938,0.245,0.102777778,0.104444444,0.428191,0,>100k,3,0.15,South London
424,drive,HBO,free,4,15.5,65,0,1,2590,0.710277778,0.190555556,0.165833333,0.276382,2,50-75k,3,0.433888889,West London
425,drive,HBE,full,1,8.25,21,1,1,1119,0.305,0.080555556,0.085555556,0.0974026,1,5-10k,7,0.1525,South London
426,drive,HBO,full,6,13.0,50,1,1,2413,0.572777778,0.180833333,0.16,0.277778,0,20-25k,3,0.258888889,West London
427,pt,HBO,free,1,15.5,82,1,0,1512,0.353333333,0.130277778,0.122777778,0.368778,0,5-10k,1,0.177222222,South London
428,drive,B,full,5,20.5,40,0,1,5791,1.382777778,0.370833333,0.359444444,0.329985,1,25-35k,4,0.621111111,West London
429,pt,HBW,full,4,16.5,49,1,1,8608,2.155,0.640555556,0.423888889,0.408257,0,20-25k,2,0.9075,West London
430,pt,HBW,free,4,17.5,63,1,1,12616,3.006944444,0.932777778,0.8575,0.483965,1,20-25k,2,1.135555556,South London
431,pt,HBW,full,2,8.25,22,0,0,2076,0.550277778,0.191111111,0.174166667,0.339713,0,50-75k,2,0.405277778,Central London
432,walk,HBE,full,1,19.5,22,1,0,912,0.241111111,0.104722222,0.086666667,0.073718,0,<5k,1,0.236666667,Central London
433,pt,HBO,full,2,12.0,46,1,0,6148,1.438888889,0.501111111,0.282222222,0.352362,1,35-50k,5,0.563888889,West London
434,pt,HBW,full,5,8.333333333,28,1,0,2412,0.534722222,0.187222222,0.166388889,0.472454,1,50-75k,2,0.236111111,Central London
435,drive,HBO,full,4,10.83333333,39,1,0,1815,0.5025,0.168611111,0.113888889,0.156098,1,20-25k,4,0.335555556,West London
436,drive,HBO,free,4,11.5,75,0,1,4107,1.026111111,0.311111111,0.259166667,0.363344,1,<5k,2,0.650555556,North London
437,drive,NHBO,full,6,13.0,31,1,1,2956,0.775277778,0.262777778,0.165277778,0.0638655,3,50-75k,6,0.635833333,South London
438,pt,HBE,dis,5,8.5,26,1,0,17347,4.288333333,1.410277778,0.833333333,0.534,1,15-20k,2,1.240555556,West London
439,walk,NHBO,free,7,15.01666667,70,1,0,893,0.240833333,0.063333333,0.096666667,0.135057,0,20-25k,1,0.1875,West London
440,pt,HBW,full,3,15.83333333,39,1,1,9885,2.408055556,0.728888889,0.588611111,0.41765,1,35-50k,4,0.675,South London
441,pt,HBW,full,2,7.333333333,27,1,0,3917,0.911666667,0.294166667,0.304722222,0.522334,0,50-75k,2,0.341666667,West London
442,pt,HBE,full,5,10.5,19,1,0,9461,2.153055556,0.589166667,0.411944444,0.362778,2,25-35k,5,0.968611111,South London
443,drive,HBO,full,5,14.0,44,1,1,669,0.246944444,0.061111111,0.0625,0.0888889,2,35-50k,4,0.186944444,North London
444,drive,HBO,free,5,20.0,6,1,0,3318,0.875833333,0.315555556,0.196666667,0.153955,1,>100k,4,0.464444444,North London
445,walk,HBO,full,1,9.5,32,0,1,231,0.115555556,0.075277778,0.159166667,0.359511,0,20-25k,4,0.104166667,Central London
446,drive,HBO,free,3,16.25,64,1,1,2231,0.571111111,0.265277778,0.171666667,0.406149,1,5-10k,2,0.389722222,Central London
447,drive,HBO,full,1,17.85,58,0,1,5466,1.2125,0.363055556,0.277777778,0.411,2,50-75k,5,0.4875,West London
448,pt,HBO,full,1,21.83333333,23,0,1,12763,3.016111111,0.935833333,0.485833333,0.297313,1,15-20k,2,0.996666667,South London
449,pt,HBO,full,3,10.5,39,1,0,1060,0.261944444,0.108333333,0.11,0.156566,1,20-25k,5,0.220555556,Central London
450,drive,HBO,full,2,21.0,42,1,1,1995,0.526666667,0.135555556,0.143055556,0.203883,2,25-35k,4,0.311388889,West London
451,drive,HBO,full,3,10.0,44,1,1,1516,0.384722222,0.133333333,0.102222222,0.127717,1,25-35k,4,0.235833333,West London
452,walk,HBE,full,5,8.5,32,1,0,549,0.220833333,0.083333333,0.077222222,0.133094,0,<5k,3,0.193333333,South London
453,drive,HBO,full,7,18.83333333,34,1,1,2008,0.518611111,0.167777778,0.098055556,0.0764873,3,75-100k,3,0.233333333,South London
454,pt,NHBO,dis,5,12.0,24,1,1,5580,1.270277778,0.435,0.390277778,0.736655,0,35-50k,2,0.375833333,Central London
455,walk,HBO,full,2,17.0,36,1,0,566,0.136944444,0.049166667,0.048055556,0.526012,1,15-20k,3,0.117777778,North London
456,walk,HBO,free,1,7.5,60,1,1,1565,0.395833333,0.118888889,0.108055556,0.0745501,1,20-25k,2,0.403611111,South London
457,drive,HBO,full,7,10.0,28,0,1,11598,2.697777778,0.922777778,0.680833333,0.409221,2,25-35k,2,0.696111111,Central London
458,drive,HBO,free,2,14.25,65,1,1,3994,0.983888889,0.345277778,0.326666667,0.401361,1,50-75k,2,0.761944444,Central London
459,pt,HBW,full,2,6.333333333,40,0,1,11128,2.558888889,0.857777778,0.565277778,0.567076,1,75-100k,4,0.901388889,West London
460,walk,NHBO,full,2,14.83333333,26,1,0,522,0.145277778,0.0625,0.088611111,0.360502,1,15-20k,3,0.118055556,West London
461,drive,HBO,full,6,17.0,40,0,1,1741,0.430277778,0.152777778,0.107777778,0.149485,1,35-50k,3,0.307777778,Central London
462,walk,HBO,full,6,22.0,22,1,0,3646,0.885555556,0.326388889,0.188888889,0.152941,0,35-50k,3,0.490277778,South London
463,walk,HBO,full,1,12.0,44,0,1,942,0.248888889,0.106388889,0.123055556,0.512415,1,25-35k,1,0.21,Central London
464,pt,NHBO,full,3,8.5,42,1,1,13540,3.218888889,0.9625,0.973333333,0.538813,2,35-50k,4,0.894166667,North London
465,pt,HBO,free,1,15.0,78,1,0,13205,3.046111111,0.966666667,0.971388889,0.54704,0,5-10k,1,0.641111111,South London
466,pt,HBW,full,2,10.0,47,1,0,2570,0.643888889,0.185,0.202222222,0.322802,0,<5k,1,0.326388889,North London
467,pt,HBW,full,5,18.25,32,1,1,3514,0.957777778,0.301944444,0.291666667,0.590476,0,20-25k,1,0.450555556,West London
468,pt,HBE,full,2,9.0,31,1,0,654,0.141944444,0.041388889,0.048611111,0.154286,0,10-15k,4,0.070277778,East London
469,pt,HBW,dis,1,8.5,52,1,1,6922,1.550277778,0.432777778,0.486388889,0.603084,2,15-20k,4,0.521388889,North London
470,drive,HBO,free,7,14.08333333,5,0,0,3799,0.959444444,0.276944444,0.170277778,0.292007,2,15-20k,5,0.596666667,South London
471,drive,HBO,full,5,1.0,28,1,1,2220,0.555555556,0.273611111,0.179722222,0.499227,0,25-35k,1,0.331388889,Central London
472,drive,NHBO,free,4,11.33333333,81,1,1,2907,0.722222222,0.196666667,0.16,0.161458,1,<5k,1,0.356944444,West London
473,pt,HBW,full,7,7.083333333,28,1,0,9090,2.136388889,0.6475,0.339722222,0.24121,0,10-15k,1,0.400555556,West London
474,drive,HBO,free,1,18.75,69,1,1,1153,0.283333333,0.097222222,0.072777778,0.251908,1,50-75k,2,0.225833333,South London
475,walk,HBO,full,3,12.0,31,1,1,243,0.089166667,0.04,0.033888889,0.286885,1,75-100k,2,0.101388889,Central London
476,drive,HBO,full,7,11.75,69,1,1,1589,0.431388889,0.153055556,0.126388889,0.386813,0,5-10k,2,0.360277778,West London
477,drive,HBE,full,2,12.08333333,58,1,0,1311,0.465555556,0.111666667,0.131666667,0.113924,1,25-35k,4,0.342222222,North London
478,drive,NHBO,free,4,13.0,67,1,1,954,0.284444444,0.060277778,0.073888889,0.0,1,15-20k,2,0.216111111,South London
479,drive,B,full,4,18.0,37,0,1,959,0.264166667,0.088333333,0.113055556,0.267813,1,50-75k,4,0.225833333,North London
480,pt,HBW,full,3,7.483333333,39,1,1,14194,3.391944444,1.030277778,1.0525,0.795461,1,75-100k,2,0.774166667,South London
481,walk,HBO,free,6,7.666666667,67,1,0,1726,0.485,0.191666667,0.123055556,0.130926,0,35-50k,2,0.271666667,North London
482,drive,HBE,full,5,18.0,47,1,1,5101,1.250277778,0.371111111,0.284444444,0.12207,1,35-50k,4,0.758055556,South London
483,pt,HBO,free,3,21.0,64,0,1,11571,2.791944444,0.795555556,0.575555556,0.208012,1,25-35k,3,0.930833333,West London
484,pt,HBO,child,3,16.5,15,1,0,796,0.184166667,0.078333333,0.095555556,0.415698,0,5-10k,2,0.1575,Central London
485,pt,HBW,full,1,17.0,34,1,1,9345,2.233055556,0.729444444,0.682777778,0.65419,0,15-20k,5,0.979166667,South London
486,walk,HBO,full,4,12.41666667,37,1,0,976,0.238611111,0.092777778,0.070277778,0.0909091,0,10-15k,4,0.088888889,West London
487,walk,HBO,16+,6,17.0,16,1,0,969,0.216111111,0.074444444,0.106111111,0.450262,0,15-20k,4,0.164722222,West London
488,walk,HBO,full,3,10.0,54,1,0,549,0.125,0.038611111,0.063055556,0.0176211,1,25-35k,3,0.074444444,Central London
489,drive,NHBO,free,1,11.5,74,0,1,2105,0.550277778,0.160555556,0.105,0.179894,1,75-100k,1,0.3075,West London
490,drive,HBE,full,2,15.66666667,43,1,1,940,0.271666667,0.091944444,0.095277778,0.0524781,1,50-75k,5,0.251944444,East London
491,drive,HBW,free,5,8.333333333,62,1,1,7108,1.856111111,0.596944444,0.400833333,0.302841,2,>100k,3,0.791111111,North London
492,drive,NHBO,full,4,8.85,32,1,1,1057,0.265555556,0.1075,0.065833333,0.0970464,1,50-75k,4,0.125,South London
493,walk,HBE,dis,2,8.0,45,1,0,527,0.128055556,0.041944444,0.038333333,0.268116,0,5-10k,4,0.071111111,Central London
494,pt,B,full,3,7.0,19,1,0,6661,1.594722222,0.467777778,0.418055556,0.679734,1,15-20k,6,0.384166667,East London
495,pt,HBO,free,4,11.0,76,1,0,4713,1.253333333,0.3575,0.264722222,0.147954,1,15-20k,2,0.806666667,South London
496,pt,NHBO,full,5,14.5,29,1,0,17449,4.020277778,1.248055556,0.926666667,0.494904,0,20-25k,1,1.030555556,West London
497,walk,HBO,full,2,10.33333333,27,1,1,1512,0.419722222,0.1725,0.121388889,0.0800915,0,50-75k,3,0.303333333,North London
498,walk,HBO,full,5,18.16666667,50,1,0,374,0.081388889,0.027222222,0.021111111,0.236842,0,35-50k,3,0.070833333,South London
499,drive,HBO,dis,3,8.333333333,25,1,1,1199,0.341666667,0.085,0.105277778,0.0184697,1,15-20k,4,0.246111111,West London
500,drive,NHBO,full,2,11.66666667,58,1,1,8052,1.903888889,0.664166667,0.352222222,0.149054,1,15-20k,1,0.566666667,South London
501,pt,HBO,full,7,19.33333333,23,0,0,5910,1.496388889,0.516388889,0.415555556,0.641711,0,5-10k,2,0.54,Central London
502,walk,HBO,free,3,10.0,65,1,0,843,0.238888889,0.118333333,0.086944444,0.661342,0,10-15k,1,0.146388889,West London
503,drive,HBO,full,2,20.7,57,1,1,1310,0.307222222,0.169722222,0.077777778,0.160714,0,50-75k,1,0.257222222,Central London
504,pt,HBO,full,4,7.0,22,0,1,17859,4.14,1.332777778,0.9425,0.64191,1,>100k,3,0.883055556,West London
505,walk,HBO,dis,7,13.83333333,24,1,0,2396,0.570555556,0.228333333,0.196388889,0.425743,0,<5k,1,0.256944444,Central London
506,pt,HBW,full,5,8.25,35,1,1,8612,1.9825,0.576388889,0.615,0.684734,1,50-75k,2,0.788055556,Central London
507,walk,HBO,full,3,13.25,49,1,1,574,0.170555556,0.084444444,0.058055556,0.105263,2,>100k,3,0.186944444,West London
508,drive,HBE,full,2,14.81666667,31,1,1,2406,0.673888889,0.193055556,0.169444444,0.0754098,1,<5k,4,0.520833333,West London
509,drive,HBO,free,3,13.5,7,1,0,6319,1.4725,0.452222222,0.347777778,0.340256,2,>100k,5,0.421944444,West London
510,walk,HBO,full,2,11.75,40,1,1,643,0.165,0.081388889,0.043611111,0.11465,1,50-75k,4,0.101666667,North London
511,pt,HBO,free,4,10.5,80,1,1,3596,1.061944444,0.343055556,0.298055556,0.424977,0,10-15k,1,0.574166667,West London
512,pt,HBE,16+,4,8.333333333,17,0,1,1331,0.332222222,0.096666667,0.088333333,0.443396,1,35-50k,5,0.250833333,West London
513,pt,HBE,full,1,10.5,33,1,1,9812,2.246388889,0.793888889,0.711111111,0.616797,0,35-50k,2,0.695833333,Central London
514,walk,HBO,full,6,15.0,56,1,1,1268,0.365555556,0.205833333,0.1275,0.466231,0,25-35k,2,0.2975,Central London
515,drive,HBO,free,6,16.61666667,6,1,0,753,0.345,0.095833333,0.058333333,0.114286,1,35-50k,4,0.290555556,South London
516,drive,NHBO,full,2,12.5,34,1,1,4031,0.948611111,0.300277778,0.21,0.392857,1,25-35k,3,0.510277778,South London
517,drive,HBW,full,2,17.5,39,1,1,857,0.271666667,0.089722222,0.109722222,0.288608,1,25-35k,2,0.252777778,Central London
518,walk,NHBO,free,3,14.25,8,1,0,1064,0.2975,0.115277778,0.180277778,0.676425,1,75-100k,3,0.226666667,Central London
519,drive,NHBO,free,2,15.25,68,1,1,897,0.234722222,0.066388889,0.060555556,0.0137615,2,75-100k,2,0.207777778,West London
520,drive,HBO,free,5,14.08333333,62,1,1,6148,1.558611111,0.442222222,0.409444444,0.274084,2,15-20k,2,0.645833333,South London
521,pt,HBO,full,3,12.0,35,1,0,1804,0.451944444,0.145833333,0.145555556,0.454198,0,15-20k,2,0.274166667,Central London
522,walk,B,full,4,11.0,41,1,0,787,0.213333333,0.083055556,0.134444444,0.365702,0,5-10k,1,0.199166667,West London
523,drive,HBO,child,2,14.5,14,1,0,733,0.181666667,0.082222222,0.069444444,0.136,2,50-75k,4,0.135555556,West London
524,pt,HBO,full,5,14.0,40,1,1,4426,1.129722222,0.426388889,0.320277778,0.509974,2,20-25k,4,0.41,West London
525,drive,HBO,full,6,14.0,27,1,0,1007,0.287222222,0.090555556,0.0975,0.321937,1,15-20k,2,0.193611111,West London
526,drive,HBO,free,7,14.0,83,1,0,5846,1.295277778,0.396388889,0.22,0.210859,1,25-35k,2,0.6075,South London
527,pt,HBE,full,2,8.666666667,38,1,1,1460,0.376388889,0.182777778,0.1625,0.292308,1,15-20k,4,0.305555556,Central London
528,pt,HBO,full,3,20.0,25,1,0,4874,1.098055556,0.316388889,0.293055556,0.632227,1,20-25k,3,0.376388889,Central London
529,pt,B,free,4,17.5,73,0,1,2207,0.505555556,0.289722222,0.163055556,0.911414,1,50-75k,1,0.264722222,Central London
530,pt,HBW,full,6,6.0,59,1,0,5347,1.168888889,0.444722222,0.215555556,0.18299,1,50-75k,3,0.329444444,East London
531,drive,HBW,full,4,14.75,52,1,1,2030,0.506666667,0.146666667,0.13,0.0918803,2,35-50k,4,0.314722222,South London
532,pt,HBW,full,1,7.833333333,26,1,0,22860,5.16,1.570277778,1.183888889,0.590568,1,50-75k,4,0.958611111,West London
533,pt,HBE,full,3,8.0,35,0,1,5987,1.405555556,0.529722222,0.494444444,0.732584,0,15-20k,2,0.422777778,West London
534,drive,HBO,free,7,15.5,80,1,1,1931,0.495277778,0.133888889,0.146944444,0.102079,1,15-20k,2,0.235277778,South London
535,drive,HBW,full,1,19.08333333,41,1,1,3393,0.781388889,0.223611111,0.175833333,0.341232,1,35-50k,3,0.253055556,South London
536,pt,HBO,full,6,23.5,29,1,0,15441,3.736388889,1.280833333,0.720555556,0.478797,0,25-35k,2,1.193333333,East London
537,drive,B,full,1,15.5,34,1,0,3835,0.880277778,0.258888889,0.245,0.608844,0,10-15k,2,0.353888889,East London
538,drive,HBE,full,4,8.266666667,42,1,1,4724,1.260277778,0.396944444,0.219166667,0.0988593,2,10-15k,4,0.645833333,West London
539,drive,B,full,2,17.5,51,1,1,10944,2.8375,1.023888889,0.702777778,0.411858,2,35-50k,3,1.124166667,South London
540,drive,HBW,full,6,8.0,55,1,1,13344,3.249166667,1.0575,0.609722222,0.280638,1,>100k,4,1.345555556,South London
541,walk,HBO,full,5,9.5,20,1,0,2087,0.566388889,0.225833333,0.213333333,0.231771,1,5-10k,3,0.626944444,West London
542,drive,HBO,full,1,14.5,35,1,1,1220,0.267777778,0.115555556,0.100833333,0.300275,1,25-35k,3,0.166666667,Central London
543,walk,HBO,full,7,15.5,49,0,1,464,0.146666667,0.054722222,0.042777778,0.714286,1,50-75k,2,0.119722222,Central London
544,drive,HBW,full,2,6.5,47,0,1,730,0.211388889,0.051388889,0.031944444,0.0956522,2,15-20k,3,0.13,North London
545,pt,HBW,full,5,18.0,39,0,1,8257,1.942222222,0.673888889,0.559166667,0.351217,1,50-75k,5,0.931666667,South London
546,drive,HBO,dis,2,20.5,19,1,0,2841,0.6525,0.1975,0.1425,0.189084,3,>100k,3,0.245,South London
547,drive,HBO,full,7,14.0,37,1,1,1058,0.315833333,0.093055556,0.108055556,0.431877,0,10-15k,1,0.234444444,West London
548,drive,HBE,full,5,15.25,40,1,1,1579,0.475,0.161666667,0.122222222,0.00909091,2,75-100k,5,0.346944444,South London
549,drive,HBO,free,2,14.58333333,64,1,1,6890,1.689444444,0.446944444,0.419444444,0.233113,1,<5k,1,0.806111111,West London
550,drive,NHBO,free,2,17.41666667,60,1,1,867,0.273333333,0.133055556,0.084166667,0.135314,1,50-75k,3,0.175555556,West London
551,drive,HBO,free,1,19.83333333,75,1,1,1986,0.515,0.174166667,0.145555556,0.171756,1,15-20k,1,0.286666667,Central London
552,pt,HBO,free,1,12.5,75,1,0,1823,0.5525,0.178055556,0.156111111,0.362989,0,5-10k,1,0.344444444,Central London
553,pt,HBW,full,6,5.333333333,51,0,1,4782,1.2275,0.436666667,0.201666667,0.0688705,1,25-35k,2,0.618611111,South London
554,drive,NHBO,full,3,12.13333333,41,1,1,2293,0.638333333,0.19,0.166944444,0.18802,2,>100k,5,0.443888889,West London
555,pt,HBW,full,6,5.5,23,0,1,5018,1.194166667,0.468611111,0.330555556,0.315126,2,20-25k,5,0.441666667,East London
556,drive,HBO,full,1,19.75,55,1,1,3242,0.707222222,0.198333333,0.1625,0.444444,2,50-75k,2,0.239166667,North London
557,pt,HBO,full,5,12.16666667,46,1,0,1471,0.323611111,0.108888889,0.088611111,0.667712,0,10-15k,2,0.231944444,Central London
558,walk,HBO,full,7,9.5,49,1,0,454,0.11,0.078055556,0.056388889,0.256158,0,5-10k,6,0.079722222,Central London
559,drive,HBO,full,2,22.83333333,43,1,1,2525,0.651666667,0.226111111,0.161666667,0.243986,1,35-50k,4,0.383611111,Central London
560,pt,HBO,free,6,14.25,91,1,0,1244,0.278333333,0.1175,0.081944444,0.315254,0,<5k,2,0.107222222,South London
561,pt,HBE,free,1,12.5,22,1,1,7663,1.846944444,0.605,0.5425,0.619048,1,50-75k,3,0.688333333,West London
562,pt,HBO,full,6,13.0,22,1,0,12237,2.706944444,0.970833333,0.661111111,0.62563,0,10-15k,3,0.690277778,West London
563,pt,HBO,free,2,14.5,66,1,1,3080,0.751388889,0.258888889,0.232222222,0.368421,0,5-10k,1,0.345833333,Central London
564,drive,NHBO,free,2,21.33333333,78,0,1,6234,1.589722222,0.576388889,0.264722222,0.309549,1,5-10k,2,0.593333333,West London
565,walk,HBO,free,7,15.0,72,1,1,1196,0.273055556,0.126388889,0.08,0.243056,0,>100k,2,0.243055556,Central London
566,drive,HBO,full,5,15.25,53,1,1,6130,1.520277778,0.474166667,0.468055556,0.515727,0,<5k,2,0.7375,West London
567,drive,HBO,full,5,8.5,56,1,1,2463,0.6425,0.243888889,0.098888889,0.210674,1,5-10k,2,0.445555556,South London
568,drive,HBO,full,2,10.5,35,1,1,9827,2.300277778,0.732777778,0.355555556,0.3,1,<5k,2,1.0725,East London
569,pt,HBO,full,4,16.0,81,1,0,13718,3.220277778,0.953055556,0.902222222,0.525246,1,>100k,4,0.945833333,South London
570,drive,HBO,full,6,12.0,29,0,0,3997,1.028611111,0.366388889,0.343055556,0.592713,0,>100k,1,0.379444444,Central London
571,pt,NHBO,full,5,19.5,49,0,1,3825,0.981111111,0.336111111,0.160555556,0.226644,0,5-10k,1,0.420555556,West London
572,drive,NHBO,free,1,13.28333333,64,1,1,3611,1.057222222,0.378055556,0.223333333,0.426617,3,>100k,2,0.519166667,East London
573,walk,HBO,full,6,11.75,44,1,1,1176,0.318055556,0.101388889,0.070833333,0.054902,1,20-25k,1,0.275,West London
574,walk,HBO,free,6,14.0,60,0,1,1181,0.296666667,0.101944444,0.101944444,0.158038,2,25-35k,5,0.175833333,East London
575,pt,NHBO,dis,5,11.25,23,0,0,1613,0.393611111,0.121944444,0.111388889,0.351621,0,<5k,1,0.240833333,Central London
576,drive,HBO,full,6,9.0,45,1,1,4500,1.142222222,0.348055556,0.2925,0.301045,2,50-75k,3,0.652777778,Central London
577,drive,HBW,full,6,22.5,21,0,0,5659,1.468611111,0.440555556,0.295,0.27307,1,50-75k,4,0.703611111,East London
578,drive,HBO,free,7,17.0,64,1,1,5826,1.431111111,0.476944444,0.297222222,0.199065,1,25-35k,2,0.680833333,North London
579,drive,HBO,free,1,11.0,83,1,1,6554,1.652777778,0.488055556,0.273888889,0.232252,1,10-15k,1,0.511666667,West London
580,drive,HBO,full,7,2.0,23,1,0,6401,1.605555556,0.615,0.433055556,0.43746,0,5-10k,2,0.799722222,Central London
581,drive,HBO,full,1,15.75,42,0,1,1248,0.289166667,0.090277778,0.121944444,0.350797,1,50-75k,4,0.190833333,West London
582,drive,HBO,full,3,18.5,31,1,0,4463,1.089166667,0.298333333,0.250277778,0.2697,1,35-50k,4,0.453333333,West London
583,walk,HBO,free,7,14.25,65,1,1,2510,0.547222222,0.150277778,0.161944444,0.106346,2,25-35k,4,0.210277778,South London
584,walk,HBO,full,7,11.0,53,1,0,725,0.184722222,0.078333333,0.06,0.00925926,1,25-35k,4,0.098055556,West London
585,drive,HBO,full,5,13.66666667,29,0,0,5750,1.393055556,0.44,0.364444444,0.355945,1,50-75k,3,0.8125,South London
586,drive,NHBO,full,2,8.45,27,1,1,4746,1.231944444,0.366944444,0.327777778,0.444915,1,10-15k,3,0.685,West London
587,pt,HBO,free,6,14.25,85,1,0,5854,1.401388889,0.463888889,0.266388889,0.34098,0,15-20k,1,0.470277778,West London
588,walk,NHBO,full,4,12.66666667,53,1,1,240,0.089722222,0.04,0.048055556,0.421965,1,>100k,3,0.070833333,Central London
589,drive,HBO,full,7,15.0,23,1,0,1534,0.4025,0.12,0.119444444,0.534884,1,35-50k,3,0.128611111,South London
590,drive,HBO,free,5,16.16666667,30,1,0,3609,0.885,0.26,0.2425,0.230241,0,<5k,1,0.360555556,West London
591,walk,HBO,full,2,13.5,26,1,0,332,0.109166667,0.076944444,0.076666667,0.246377,0,20-25k,2,0.104722222,East London
592,drive,HBW,free,3,14.66666667,67,1,1,12066,2.69,0.837777778,0.81,0.499657,1,25-35k,1,0.833888889,Central London
593,pt,B,full,7,18.75,40,0,1,1626,0.513333333,0.195833333,0.109722222,0.235443,0,50-75k,2,0.371388889,North London
594,drive,HBO,full,2,15.08333333,50,1,1,2004,0.513888889,0.161666667,0.086111111,0.245161,1,5-10k,2,0.465833333,South London
595,drive,HBO,full,6,13.0,43,1,1,1442,0.412222222,0.128333333,0.123888889,0.199552,2,35-50k,5,0.308888889,South London
596,drive,HBO,full,5,14.1,25,0,1,2219,0.585555556,0.179722222,0.125,0.157778,1,15-20k,2,0.231666667,West London
597,pt,NHBO,free,6,13.25,70,1,1,3121,0.678888889,0.210833333,0.205555556,0.386487,1,35-50k,2,0.113888889,Central London
598,drive,HBO,free,5,16.28333333,68,1,1,709,0.208611111,0.051944444,0.068611111,0.00809717,1,20-25k,1,0.1775,South London
599,pt,NHBO,full,7,14.0,40,1,1,1732,0.436388889,0.169444444,0.203888889,0.66485,0,>100k,5,0.284166667,Central London
600,walk,NHBO,full,7,15.5,54,0,1,439,0.124722222,0.061944444,0.109722222,0.511392,1,75-100k,2,0.086111111,West London
601,drive,HBO,full,5,19.0,57,0,1,2419,0.760833333,0.209166667,0.162222222,0.0684932,1,>100k,5,0.342777778,West London
602,walk,HBO,free,2,13.5,81,1,0,613,0.175555556,0.087777778,0.089444444,0.319876,0,20-25k,1,0.139444444,Central London
603,drive,HBO,free,7,18.08333333,70,0,1,2528,0.689722222,0.230555556,0.1175,0.0472813,1,5-10k,2,0.476388889,South London
604,walk,HBE,child,5,8.0,15,0,0,1105,0.294166667,0.081388889,0.066111111,0.0882353,1,25-35k,3,0.259166667,Central London
605,pt,B,full,5,9.5,43,1,0,2478,0.576944444,0.178611111,0.143333333,0.137597,0,35-50k,2,0.396388889,North London
606,drive,HBW,full,7,16.75,51,1,1,11505,2.737777778,0.867777778,0.543611111,0.262647,1,25-35k,2,1.079166667,South London
607,pt,HBW,full,2,7.0,22,1,0,7855,2.106944444,0.664166667,0.313055556,0.433008,0,>100k,2,0.693888889,West London
608,pt,HBW,full,3,19.0,26,1,0,14885,3.629166667,1.378055556,0.977222222,0.534679,0,>100k,2,1.118333333,North London
609,walk,HBO,full,4,15.75,21,1,0,1229,0.355555556,0.130555556,0.095,0.154971,0,>100k,8,0.268888889,Central London
610,drive,HBW,full,2,18.5,48,1,1,5685,1.740833333,0.437222222,0.369166667,0.48307,2,35-50k,3,0.695833333,West London
611,pt,HBO,full,6,13.5,61,0,1,5223,1.213888889,0.357222222,0.321111111,0.630623,1,50-75k,2,0.7575,Central London
612,pt,HBW,full,3,17.0,28,1,1,8113,1.839722222,0.618611111,0.646944444,0.776728,0,50-75k,2,0.528611111,South London
