,age,female,hh_borough
32956,59,0,Enfield
32957,54,1,Harrow
32958,24,0,Croydon
32959,1,0,Sevenoaks
32960,62,1,Westminster
32961,76,1,Harrow
32962,43,0,Waltham Forest
32963,34,0,Bexley
32964,95,1,Elmbridge
32965,25,0,Tower Hamlets
32966,65,1,Waltham Forest
32967,34,0,Epping Forest
32968,49,0,Newham
32969,22,0,Bromley
32970,52,1,Richmond upon Thames
32971,53,0,Havering
32972,14,1,Hounslow
32973,45,0,Enfield
32974,49,0,Kensington and Chelsea
32975,27,1,Hillingdon
32976,5,0,Barnet
32977,51,0,Barnet
32978,27,1,Westminster
32979,17,0,Bromley
32980,31,0,Lambeth
32981,42,0,Waltham Forest
32982,26,1,Haringey
32983,38,0,Westminster
32984,37,0,Newham
32985,46,1,Barking and Dagenham
32986,3,0,Enfield
32987,7,0,Greenwich
32988,57,0,Sutton
32989,48,1,Elmbridge
32990,41,0,Havering
32991,5,0,Bromley
32992,2,0,Bromley
32993,58,0,Three Rivers
32994,47,0,Greenwich
32995,63,1,Woking
32996,1,1,Hertsmere
32997,13,0,Barking and Dagenham
32998,59,0,Greenwich
32999,19,1,Elmbridge
33000,20,1,Wandsworth
33001,84,1,Lambeth
33002,9,0,Lambeth
33003,52,1,Merton
33004,71,1,South Bucks
33005,46,0,Sevenoaks
33006,36,1,Barnet
33007,40,1,Greenwich
33008,12,0,Southwark
33009,43,0,Brent
33010,41,0,Tandridge
33011,17,0,Enfield
33012,41,0,Southwark
33013,36,1,Mole Valley
33014,33,0,Southwark
33015,39,0,Wandsworth
33016,15,0,Hackney
33017,68,0,Westminster
33018,21,1,Islington
33019,77,0,Epping Forest
33020,48,1,Southwark
33021,26,1,Hounslow
33022,56,0,Hounslow
33023,14,0,Camden
33024,8,0,Thurrock
33025,34,1,Bromley
33026,59,1,Mole Valley
33027,18,0,Newham
33028,25,0,Brent
33029,5,0,Tandridge
33030,38,0,Hillingdon
33031,17,1,Greenwich
33032,25,1,Barking and Dagenham
33033,60,0,Redbridge
33034,29,1,Wandsworth
33035,16,0,Tower Hamlets
33036,25,0,Spelthorne
33037,5,0,Elmbridge
33038,21,0,Enfield
33039,46,0,Tower Hamlets
33040,6,0,Brent
33041,69,1,Lambeth
33042,6,0,Southwark
33043,7,1,Lambeth
33044,35,1,Enfield
33045,88,1,Epping Forest
33046,15,0,Ealing
33047,6,1,Wandsworth
33048,3,0,Bexley
33049,40,0,Elmbridge
33050,5,1,Islington
33051,30,1,Waltham Forest
33052,19,0,Camden
33053,10,0,Lambeth
33054,7,1,Kingston upon Thames
33055,81,0,Bromley
33056,27,0,Bexley
33057,40,0,Lambeth
33058,34,0,Southwark
33059,41,0,Tower Hamlets
33060,71,0,Hertsmere
33061,21,0,Tower Hamlets
33062,64,1,Redbridge
33063,44,0,Bromley
33064,37,1,Bromley
33065,48,0,Havering
33066,23,0,Islington
33067,66,0,Lewisham
33068,26,1,Hammersmith & Fulham
33069,8,1,Croydon
33070,32,1,Greenwich
33071,4,1,Redbridge
33072,72,1,Hillingdon
33073,42,1,Hounslow
33074,28,1,Bromley
33075,56,1,Tower Hamlets
33076,12,1,Dartford
33077,54,1,Bexley
33078,11,0,Redbridge
33079,47,0,Hounslow
33080,48,0,Kingston upon Thames
33081,52,0,Brent
33082,18,1,Newham
33083,30,0,Bexley
33084,39,0,Richmond upon Thames
33085,67,1,Croydon
33086,50,1,Newham
33087,44,1,Kingston upon Thames
33088,18,0,Camden
33089,74,0,Watford
33090,45,1,Kensington and Chelsea
33091,84,1,Croydon
33092,73,0,Reigate and Banstead
33093,20,1,Epsom and Ewell
33094,37,0,Greenwich
33095,2,0,Wandsworth
33096,44,1,Lewisham
33097,45,1,Havering
33098,14,0,Redbridge
33099,43,1,Waltham Forest
33100,23,0,Bromley
33101,24,0,Dartford
33102,32,0,Lambeth
33103,26,0,Hammersmith & Fulham
33104,23,1,Camden
33105,26,1,Lewisham
33106,43,1,Islington
33107,81,1,Greenwich
33108,58,0,Lewisham
33109,72,1,Newham
33110,61,1,Merton
33111,45,1,Harrow
33112,68,1,Havering
33113,43,0,Three Rivers
33114,43,0,Bromley
33115,7,1,Kensington and Chelsea
33116,31,1,Wandsworth
33117,30,0,Dartford
33118,89,1,Barking and Dagenham
33119,31,0,Waltham Forest
33120,42,1,Enfield
33121,43,1,South Bucks
33122,42,1,Lambeth
33123,66,0,Kensington and Chelsea
33124,20,0,Barking and Dagenham
33125,70,1,Greenwich
33126,51,1,Kensington and Chelsea
33127,12,1,Epping Forest
33128,38,0,Merton
33129,1,0,Sutton
33130,63,0,Barnet
33131,34,1,Harrow
33132,19,0,Barking and Dagenham
33133,30,0,Wandsworth
33134,62,1,Hammersmith & Fulham
33135,37,0,Harrow
33136,76,0,Sevenoaks
33137,22,1,Haringey
33138,8,0,Runnymede
33139,29,0,Havering
33140,45,0,Hackney
33141,1,1,Bromley
33142,30,0,Hertsmere
33143,53,0,Kingston upon Thames
33144,6,0,Thurrock
33145,54,1,Tower Hamlets
33146,5,1,Lambeth
33147,52,1,Brent
33148,19,0,Sutton
33149,55,0,Barking and Dagenham
33150,67,0,Merton
33151,29,1,Hillingdon
33152,44,0,Watford
33153,36,0,Harrow
33154,26,1,Croydon
33155,55,0,Barnet
33156,49,1,Hackney
33157,17,0,Hackney
33158,6,0,Wandsworth
33159,42,1,Barking and Dagenham
33160,52,1,Kingston upon Thames
33161,2,0,Kingston upon Thames
33162,40,0,Croydon
33163,64,1,Sutton
33164,53,0,Runnymede
33165,40,0,Barnet
33166,64,0,Kensington and Chelsea
33167,50,1,Sutton
33168,56,1,Hertsmere
33169,34,1,Croydon
33170,27,1,Reigate and Banstead
33171,71,1,Elmbridge
33172,47,0,Bexley
33173,25,1,Brent
33174,47,0,Enfield
33175,55,0,Sevenoaks
33176,64,0,Southwark
33177,21,1,Barnet
33178,48,1,Kingston upon Thames
33179,59,0,Wandsworth
33180,33,1,Hammersmith & Fulham
33181,41,0,Enfield
33182,34,1,Croydon
33183,46,0,Reigate and Banstead
33184,2,1,Redbridge
33185,44,0,Elmbridge
33186,53,1,Wandsworth
33187,29,1,Wandsworth
33188,7,1,Bromley
33189,42,1,Epping Forest
33190,47,0,Hounslow
33191,37,0,Waltham Forest
33192,3,1,Southwark
33193,24,0,Wandsworth
33194,32,0,Lewisham
33195,0,1,Elmbridge
33196,58,1,Richmond upon Thames
33197,19,1,Enfield
33198,4,0,Harrow
33199,15,1,Newham
33200,37,1,Westminster
33201,12,0,Hammersmith & Fulham
33202,56,0,Wandsworth
33203,45,0,Bexley
33204,64,1,Barnet
33205,43,1,Hammersmith & Fulham
33206,48,0,Barnet
33207,59,1,Barnet
33208,55,1,Lewisham
33209,49,1,Elmbridge
33210,40,0,Lewisham
33211,54,1,Waltham Forest
33212,61,1,Hounslow
33213,60,0,Elmbridge
33214,3,1,Havering
33215,9,0,Kingston upon Thames
33216,50,1,Reigate and Banstead
33217,49,1,Tower Hamlets
33218,10,0,Havering
33219,27,0,Southwark
33220,80,1,Spelthorne
33221,62,0,Kingston upon Thames
33222,36,0,Bromley
33223,27,0,Kingston upon Thames
33224,41,0,Haringey
33225,15,1,Bromley
33226,30,0,Lambeth
33227,19,0,Hillingdon
33228,17,1,Lambeth
33229,57,1,Barnet
33230,93,1,Bromley
33231,26,0,Merton
33232,41,1,Sevenoaks
33233,42,1,Bromley
33234,3,0,Thurrock
33235,74,1,Sutton
33236,28,1,Lambeth
33237,45,0,Redbridge
33238,37,0,Lambeth
33239,46,1,Croydon
33240,46,0,Greenwich
33241,36,1,Richmond upon Thames
33242,56,0,Tandridge
33243,0,1,Richmond upon Thames
33244,11,0,Wandsworth
33245,11,1,Enfield
33246,16,0,Southwark
33247,1,1,Woking
33248,54,0,Bexley
33249,13,1,Havering
33250,13,1,Croydon
33251,61,1,Waltham Forest
33252,40,0,Haringey
33253,61,1,Croydon
33254,63,1,Barnet
33255,11,0,Richmond upon Thames
33256,3,1,Kingston upon Thames
33257,32,1,Hammersmith & Fulham
33258,13,1,Hillingdon
33259,20,0,Richmond upon Thames
33260,34,0,Sevenoaks
33261,53,0,Merton
33262,40,0,Hackney
33263,29,1,Southwark
33264,73,0,Bexley
33265,78,0,Croydon
33266,70,1,Watford
33267,44,1,Bromley
33268,2,1,Lewisham
33269,10,1,Harrow
33270,30,0,Lambeth
33271,28,1,Islington
33272,8,0,Havering
33273,30,0,Havering
33274,34,0,Kingston upon Thames
33275,23,0,Spelthorne
33276,6,1,Haringey
33277,2,1,Sevenoaks
33278,2,0,Waltham Forest
33279,45,1,Reigate and Banstead
33280,24,1,Hackney
33281,27,1,Hillingdon
33282,31,0,Wandsworth
33283,22,1,Bexley
33284,24,0,Croydon
33285,2,1,Greenwich
33286,17,0,Hertsmere
33287,40,1,Bexley
33288,8,1,Thurrock
33289,49,0,Croydon
33290,83,0,Elmbridge
33291,66,1,Newham
33292,29,0,Epping Forest
33293,42,1,Westminster
33294,60,0,Bexley
33295,5,1,Haringey
33296,23,0,Dartford
33297,42,1,Westminster
33298,84,1,Sevenoaks
33299,28,0,Haringey
33300,35,1,Runnymede
33301,22,0,Tower Hamlets
33302,29,0,Newham
33303,64,1,Bromley
33304,75,1,Croydon
33305,44,1,Lambeth
33306,80,0,Croydon
33307,40,1,Enfield
33308,63,0,Hertsmere
33309,57,1,Kingston upon Thames
33310,27,1,Hillingdon
33311,39,0,Hammersmith & Fulham
33312,12,0,Mole Valley
33313,50,1,Wandsworth
33314,48,1,Epsom and Ewell
33315,22,0,Barnet
33316,10,1,Bexley
33317,29,1,Croydon
33318,74,0,Waltham Forest
33319,27,1,Brent
33320,29,1,Croydon
33321,66,0,Haringey
33322,74,1,Havering
33323,5,0,Islington
33324,11,0,Enfield
33325,10,1,Sutton
33326,12,1,Barking and Dagenham
33327,55,1,Lewisham
33328,7,0,Brent
33329,49,1,South Bucks
33330,58,0,Croydon
33331,4,0,Barking and Dagenham
33332,24,0,Watford
33333,23,0,Hackney
33334,59,1,Enfield
33335,39,1,Haringey
33336,0,1,Hackney
33337,14,1,Southwark
33338,51,0,Havering
33339,3,1,Watford
33340,48,0,Hackney
33341,12,0,Waltham Forest
33342,66,1,Redbridge
33343,75,0,Redbridge
33344,50,0,Camden
33345,22,1,Epping Forest
33346,6,0,Bexley
33347,54,0,Bexley
33348,17,1,Enfield
33349,35,0,Lambeth
33350,31,0,Lambeth
33351,5,0,Haringey
33352,84,1,Hillingdon
33353,0,1,Croydon
33354,38,1,Croydon
33355,39,1,Hounslow
33356,53,1,Haringey
33357,5,1,Lambeth
33358,77,0,Tandridge
33359,7,1,Thurrock
33360,86,1,Tower Hamlets
33361,42,1,Sutton
33362,31,1,Lewisham
33363,56,1,Brent
33364,15,0,Sevenoaks
33365,72,1,Hillingdon
33366,42,0,Hammersmith & Fulham
33367,29,0,Tower Hamlets
33368,22,1,Redbridge
33369,72,1,Epping Forest
33370,86,0,Brent
33371,20,0,Wandsworth
33372,14,0,Ealing
33373,67,0,Havering
33374,56,1,Brent
33375,27,1,Brent
33376,59,0,Lewisham
33377,61,0,Southwark
33378,39,0,South Bucks
33379,14,0,Waltham Forest
33380,43,0,Lambeth
33381,8,1,Hounslow
33382,71,1,Hounslow
33383,49,1,Tower Hamlets
33384,23,0,Croydon
33385,22,0,Bromley
33386,25,0,Richmond upon Thames
33387,49,0,Newham
33388,41,1,Waltham Forest
33389,25,0,Hammersmith & Fulham
33390,40,1,Harrow
33391,33,1,Southwark
33392,57,1,Dartford
33393,37,1,Elmbridge
33394,53,0,Bromley
33395,29,1,Greenwich
33396,23,0,Wandsworth
33397,67,0,Reigate and Banstead
33398,8,0,Kingston upon Thames
33399,39,0,Enfield
33400,47,1,Barnet
33401,22,0,Wandsworth
33402,17,1,Harrow
33403,52,1,Kensington and Chelsea
33404,24,1,Hammersmith & Fulham
33405,68,0,Redbridge
33406,43,1,Barnet
33407,25,0,Merton
33408,42,0,Dartford
33409,36,0,Camden
33410,9,0,Epping Forest
33411,54,1,Hillingdon
33412,27,1,Hillingdon
33413,28,1,Wandsworth
33414,28,0,Brent
33415,15,1,Newham
33416,19,0,Wandsworth
33417,22,0,Thurrock
33418,10,0,Three Rivers
33419,66,1,Croydon
33420,60,0,Merton
33421,20,0,Hounslow
33422,39,1,Barking and Dagenham
33423,35,0,Barnet
33424,39,1,Tower Hamlets
33425,27,0,Waltham Forest
33426,69,1,Richmond upon Thames
33427,49,0,Hillingdon
33428,34,0,Richmond upon Thames
33429,20,0,Newham
33430,23,1,Camden
33431,49,1,Bexley
33432,77,1,Dartford
33433,0,1,Tower Hamlets
33434,9,0,Mole Valley
33435,4,0,Greenwich
33436,7,1,Islington
33437,30,0,Bexley
33438,7,1,Sutton
33439,31,0,Harrow
33440,38,0,Reigate and Banstead
33441,46,1,Tower Hamlets
33442,31,0,Sutton
33443,36,0,Southwark
33444,46,0,Richmond upon Thames
33445,48,0,Mole Valley
33446,34,1,Richmond upon Thames
33447,34,0,Hillingdon
33448,22,1,Merton
33449,27,0,Merton
33450,16,1,Epsom and Ewell
33451,70,1,Thurrock
33452,33,1,Reigate and Banstead
33453,72,1,Westminster
33454,36,0,Islington
33455,64,1,Waltham Forest
33456,35,0,Lambeth
33457,28,0,Havering
33458,7,0,Croydon
33459,30,0,Lambeth
33460,24,0,Islington
33461,57,0,Kensington and Chelsea
33462,40,1,Southwark
33463,74,0,Bexley
33464,25,1,Richmond upon Thames
33465,1,0,Barking and Dagenham
33466,7,1,Hounslow
33467,47,1,Hounslow
33468,48,0,Spelthorne
33469,1,0,Wandsworth
33470,46,0,Croydon
33471,34,1,Enfield
33472,13,1,Bexley
33473,42,0,Ealing
33474,50,1,Barnet
33475,16,1,Barking and Dagenham
33476,61,0,Kingston upon Thames
33477,27,0,Hackney
33478,72,0,Croydon
33479,61,0,Kingston upon Thames
33480,47,0,Barnet
33481,59,1,Camden
33482,49,0,Redbridge
33483,2,1,Newham
33484,42,1,Barking and Dagenham
33485,58,0,Barking and Dagenham
33486,1,0,Redbridge
33487,9,0,Camden
33488,79,0,Reigate and Banstead
33489,49,0,Brent
33490,44,0,Three Rivers
33491,71,1,Ealing
33492,29,1,Kingston upon Thames
33493,40,1,Haringey
33494,71,0,Barking and Dagenham
33495,54,0,Spelthorne
33496,2,1,Brent
33497,33,1,Bexley
33498,7,1,Hounslow
33499,95,1,Hounslow
33500,15,1,Three Rivers
33501,45,0,Lewisham
33502,24,0,Sevenoaks
33503,82,1,Hammersmith & Fulham
33504,1,0,Brent
33505,48,1,Reigate and Banstead
33506,23,1,Islington
33507,11,1,Hammersmith & Fulham
33508,17,0,Barnet
33509,47,0,Islington
33510,35,0,Islington
33511,1,0,Croydon
33512,74,1,Bexley
33513,28,0,Waltham Forest
33514,43,1,Hounslow
33515,30,1,Tower Hamlets
33516,18,1,South Bucks
33517,30,1,Enfield
33518,36,1,Epsom and Ewell
33519,69,1,Hillingdon
33520,48,1,Richmond upon Thames
33521,10,1,Tandridge
33522,3,0,Islington
33523,28,1,Islington
33524,46,1,Brent
33525,58,0,Hounslow
33526,4,1,Hounslow
33527,60,0,Sutton
33528,12,1,Hillingdon
33529,2,1,Tower Hamlets
33530,65,0,Three Rivers
33531,43,0,Croydon
33532,35,0,Lewisham
33533,67,0,Kingston upon Thames
33534,20,1,Hounslow
33535,32,1,Haringey
33536,40,0,Thurrock
33537,37,1,Southwark
33538,44,1,Thurrock
33539,47,0,Hounslow
33540,65,0,Croydon
33541,19,0,Newham
33542,25,0,Hammersmith & Fulham
33543,36,0,Hackney
33544,16,1,Hackney
33545,35,1,Hillingdon
33546,39,0,Croydon
33547,3,0,Merton
33548,25,0,Lewisham
33549,33,0,Sutton
33550,22,0,Epping Forest
33551,38,0,Haringey
33552,51,0,Kingston upon Thames
33553,65,1,Waltham Forest
33554,35,0,Westminster
33555,24,1,Croydon
33556,45,1,Waltham Forest
33557,61,1,Newham
33558,36,1,Elmbridge
33559,80,1,Sutton
33560,33,1,Reigate and Banstead
33561,22,1,Ealing
33562,39,0,Hillingdon
33563,33,1,Hillingdon
33564,29,0,Reigate and Banstead
33565,66,0,Woking
33566,53,1,Wandsworth
33567,35,0,Croydon
33568,84,0,Greenwich
33569,52,1,Hackney
33570,77,0,Harrow
33571,35,0,Ealing
33572,12,1,Camden
33573,21,0,Camden
33574,38,1,Wandsworth
33575,9,0,Croydon
33576,24,1,Barnet
33577,27,1,Ealing
33578,24,0,Lambeth
33579,35,0,Bexley
33580,37,1,Enfield
33581,30,1,Islington
33582,39,1,Brent
33583,29,0,Haringey
33584,38,1,Ealing
33585,72,1,Havering
33586,14,0,Enfield
33587,47,1,Lewisham
33588,4,1,Barnet
33589,43,1,Haringey
33590,37,1,Havering
33591,7,1,Bexley
33592,53,0,Haringey
33593,0,1,Reigate and Banstead
33594,58,0,Richmond upon Thames
33595,47,0,Watford
33596,93,1,Enfield
33597,32,1,Lambeth
33598,31,1,Haringey
33599,27,1,Brent
33600,19,1,Croydon
33601,32,1,Hillingdon
33602,47,0,Haringey
33603,51,0,Harrow
33604,26,1,Reigate and Banstead
33605,71,1,Bromley
33606,37,1,Lewisham
33607,12,1,Reigate and Banstead
33608,55,0,Spelthorne
33609,21,0,Camden
33610,79,1,Barnet
33611,22,1,Hackney
33612,69,0,Hackney
33613,47,1,Newham
33614,17,1,Greenwich
33615,36,0,Camden
33616,47,0,Redbridge
33617,16,0,Epsom and Ewell
33618,47,1,Tandridge
33619,38,0,Westminster
33620,16,0,Ealing
33621,2,1,Havering
33622,56,1,Runnymede
33623,35,1,Waltham Forest
33624,27,0,Enfield
33625,28,1,Sutton
33626,24,1,Haringey
33627,27,1,Lambeth
33628,36,0,Westminster
33629,4,0,Croydon
33630,27,0,Thurrock
33631,12,1,Epping Forest
33632,31,1,Ealing
33633,27,0,Epsom and Ewell
33634,31,1,Brent
33635,53,0,Sevenoaks
33636,80,1,Watford
33637,78,0,Dartford
33638,26,1,Brent
33639,26,0,Ealing
33640,31,1,Lewisham
33641,42,1,Richmond upon Thames
33642,28,1,Redbridge
33643,63,0,Three Rivers
33644,13,1,Southwark
33645,45,0,Brent
33646,41,0,Kingston upon Thames
33647,48,1,Mole Valley
33648,1,0,Barnet
33649,42,1,Bromley
33650,51,0,Croydon
33651,43,0,Brent
33652,73,1,Merton
33653,46,0,Islington
33654,37,0,Epsom and Ewell
33655,39,0,Redbridge
33656,33,0,Lewisham
33657,16,1,Lewisham
33658,26,1,Brent
33659,25,1,Hackney
33660,15,0,Newham
33661,41,0,Kensington and Chelsea
33662,39,1,Newham
33663,1,1,Wandsworth
33664,52,0,Greenwich
33665,39,0,Enfield
33666,10,0,Hounslow
33667,64,0,Redbridge
33668,12,0,Merton
33669,64,1,Spelthorne
33670,2,1,Harrow
33671,95,1,Bromley
33672,31,0,Wandsworth
33673,58,1,Sutton
33674,27,1,Kensington and Chelsea
33675,43,0,Haringey
33676,39,1,Westminster
33677,3,0,Newham
33678,50,0,Bexley
33679,51,0,Tower Hamlets
33680,78,0,Lambeth
33681,41,0,Brent
33682,42,1,Camden
33683,63,1,Greenwich
33684,1,0,Hertsmere
33685,55,0,Greenwich
33686,19,1,Thurrock
33687,51,1,Southwark
33688,49,0,Harrow
33689,48,1,Hackney
33690,13,0,Greenwich
33691,30,0,Lambeth
33692,35,0,Dartford
33693,42,1,Reigate and Banstead
33694,12,0,Hounslow
33695,23,0,Hounslow
33696,21,0,Sutton
33697,58,0,Lewisham
33698,11,1,Bexley
33699,32,0,Southwark
33700,8,1,Hillingdon
33701,1,1,Lambeth
33702,32,0,Westminster
33703,45,1,Greenwich
33704,9,1,Ealing
33705,31,0,Barking and Dagenham
33706,51,1,Lewisham
33707,64,1,Sevenoaks
33708,57,0,Hounslow
33709,36,0,Richmond upon Thames
33710,47,0,Havering
33711,39,1,Hounslow
33712,19,1,Greenwich
33713,23,1,Hillingdon
33714,44,0,Havering
33715,39,1,Brent
33716,68,1,Three Rivers
33717,36,0,Wandsworth
33718,34,0,Ealing
33719,10,0,Harrow
33720,37,1,Southwark
33721,9,0,Elmbridge
33722,31,1,Islington
33723,43,0,Merton
33724,16,1,Southwark
33725,53,0,Barnet
33726,44,1,Harrow
33727,28,0,Sutton
33728,0,1,Ealing
33729,42,1,Croydon
33730,41,0,Waltham Forest
33731,23,1,Ealing
33732,34,0,Redbridge
33733,44,1,Bromley
33734,19,0,Brent
33735,39,1,Ealing
33736,11,1,Brent
33737,0,0,Redbridge
33738,23,0,Bromley
33739,34,0,Harrow
33740,34,0,Westminster
33741,9,0,Croydon
33742,54,0,Lewisham
33743,20,0,Richmond upon Thames
33744,3,1,Southwark
33745,83,1,Hillingdon
33746,37,0,Wandsworth
33747,38,1,Redbridge
33748,33,0,Richmond upon Thames
33749,13,1,Wandsworth
33750,17,1,Wandsworth
33751,75,1,Croydon
33752,26,0,Southwark
33753,43,1,Wandsworth
33754,70,0,Merton
33755,47,0,Harrow
33756,72,1,Thurrock
33757,27,1,Hackney
33758,42,1,Barking and Dagenham
33759,25,1,Islington
33760,42,0,Redbridge
33761,31,1,Tower Hamlets
33762,39,1,Lambeth
33763,43,0,Hammersmith & Fulham
33764,35,1,Richmond upon Thames
33765,7,1,Richmond upon Thames
33766,43,1,Camden
33767,15,1,Hounslow
33768,49,1,Redbridge
33769,36,0,Camden
33770,25,0,Woking
33771,38,0,Croydon
33772,32,1,Hounslow
33773,12,0,Haringey
33774,7,0,Croydon
33775,53,1,Kingston upon Thames
33776,32,1,Lambeth
33777,91,1,Richmond upon Thames
33778,38,0,Thurrock
33779,2,0,Enfield
33780,35,0,Lewisham
33781,51,0,Reigate and Banstead
33782,43,1,Barnet
33783,24,1,Redbridge
33784,48,0,Hertsmere
33785,47,0,Wandsworth
33786,2,1,Enfield
33787,31,0,Lambeth
33788,59,1,Richmond upon Thames
33789,82,1,Hounslow
33790,36,1,Ealing
33791,38,0,Bexley
33792,17,0,Haringey
33793,47,1,Tower Hamlets
33794,32,0,Hackney
33795,20,1,Hounslow
33796,41,0,Hillingdon
33797,0,1,Camden
33798,30,1,Islington
33799,28,1,Elmbridge
33800,35,0,Barnet
33801,3,0,Greenwich
33802,78,1,Lewisham
33803,34,0,Enfield
33804,5,0,Tandridge
33805,48,1,Westminster
33806,53,1,Redbridge
33807,4,1,Waltham Forest
33808,26,0,Hammersmith & Fulham
33809,29,1,Redbridge
33810,12,0,Bromley
33811,13,1,Barnet
33812,51,1,Ealing
33813,16,1,Waltham Forest
33814,49,1,Bexley
33815,79,1,Camden
33816,23,1,Camden
33817,58,1,Tandridge
33818,6,0,Haringey
33819,75,0,Bexley
33820,52,0,Waltham Forest
33821,37,1,Barking and Dagenham
33822,36,0,Newham
33823,55,0,Tower Hamlets
33824,26,0,Westminster
33825,88,1,Enfield
33826,70,0,Merton
33827,20,1,Kingston upon Thames
33828,49,1,Camden
33829,64,0,Bexley
33830,21,1,Spelthorne
33831,25,0,Ealing
33832,15,0,Bexley
33833,12,0,Barnet
33834,44,0,Wandsworth
33835,4,1,Thurrock
33836,62,0,Bexley
33837,44,0,Tandridge
33838,4,1,Spelthorne
33839,0,1,Brent
33840,1,0,Bexley
33841,48,1,Hounslow
33842,43,1,Islington
33843,60,1,Bexley
33844,49,0,Barnet
33845,49,1,Hillingdon
33846,42,1,Hackney
33847,45,0,Tower Hamlets
33848,58,1,Waltham Forest
33849,0,1,Three Rivers
33850,80,0,Enfield
33851,45,1,Lewisham
33852,24,0,Kensington and Chelsea
33853,73,0,Dartford
33854,21,0,Camden
33855,86,1,Hertsmere
33856,74,1,Spelthorne
33857,77,0,Barnet
33858,35,1,Richmond upon Thames
33859,66,0,Redbridge
33860,44,1,Wandsworth
33861,21,0,Hackney
33862,20,0,Spelthorne
33863,37,1,Mole Valley
33864,24,0,Tower Hamlets
33865,48,1,Bromley
33866,50,0,Bexley
33867,45,0,Epsom and Ewell
33868,32,1,Havering
33869,54,0,Bexley
33870,43,1,Bexley
33871,65,1,Richmond upon Thames
33872,22,1,Mole Valley
33873,2,1,Bexley
33874,44,1,Croydon
33875,56,1,Bromley
33876,41,1,Hackney
33877,5,0,Enfield
33878,80,0,Merton
33879,19,1,Southwark
33880,58,1,Wandsworth
33881,12,1,Redbridge
33882,68,0,Wandsworth
33883,20,0,Kensington and Chelsea
33884,36,1,Havering
33885,15,1,Waltham Forest
33886,56,1,City of London
33887,49,0,Hertsmere
33888,38,0,Redbridge
33889,17,0,Ealing
33890,5,1,Ealing
33891,27,0,Ealing
33892,20,0,Waltham Forest
33893,19,1,Camden
33894,26,1,Hackney
33895,6,1,Lewisham
33896,50,0,Lambeth
33897,20,1,Hammersmith & Fulham
33898,85,1,Merton
33899,9,0,Three Rivers
33900,63,1,Sutton
33901,31,0,Camden
33902,16,1,Harrow
33903,29,1,Ealing
33904,0,0,Enfield
33905,42,0,Thurrock
33906,27,1,Croydon
33907,6,0,Lambeth
33908,46,1,Bexley
33909,28,1,Enfield
33910,48,0,Hillingdon
33911,39,1,Havering
33912,15,1,Merton
33913,31,0,Enfield
33914,80,0,Hillingdon
33915,44,1,Enfield
33916,38,1,Camden
33917,36,0,Islington
33918,3,1,Harrow
33919,7,1,Hounslow
33920,63,1,Epping Forest
33921,15,1,Kingston upon Thames
33922,31,0,Islington
33923,7,0,Redbridge
33924,67,0,Westminster
33925,59,1,Thurrock
33926,2,1,Southwark
33927,0,1,Barnet
33928,62,1,Greenwich
33929,40,1,Tower Hamlets
33930,27,1,Richmond upon Thames
33931,61,1,Merton
33932,50,1,Haringey
33933,40,0,Havering
33934,43,1,Havering
33935,20,0,Barking and Dagenham
33936,35,0,Southwark
33937,15,0,Islington
33938,84,0,Lewisham
33939,21,0,Brent
33940,42,1,Enfield
33941,41,1,Wandsworth
33942,1,0,Haringey
33943,24,1,Brent
33944,7,1,Barnet
33945,35,0,Haringey
33946,48,1,Epping Forest
33947,24,1,Waltham Forest
33948,21,0,Newham
33949,22,1,Ealing
33950,44,0,Enfield
33951,9,0,Barking and Dagenham
33952,45,0,Bexley
33953,31,0,Spelthorne
33954,18,1,Tower Hamlets
33955,55,0,Brent
33956,77,1,Dartford
33957,47,0,Harrow
33958,63,1,Greenwich
33959,29,1,Hounslow
33960,26,1,Hammersmith & Fulham
33961,63,0,Barnet
33962,33,1,Croydon
33963,11,1,Haringey
33964,0,1,Haringey
33965,36,0,Kingston upon Thames
33966,48,1,Waltham Forest
33967,44,0,Hammersmith & Fulham
33968,29,0,Richmond upon Thames
33969,33,0,Haringey
33970,63,0,Tower Hamlets
33971,58,1,Sutton
33972,51,1,Lambeth
33973,64,0,Lewisham
33974,44,0,Havering
33975,32,0,Sutton
33976,51,1,Hounslow
33977,45,0,Southwark
33978,39,0,Elmbridge
33979,15,1,South Bucks
33980,46,0,Havering
33981,25,1,Spelthorne
33982,40,0,Harrow
33983,62,0,Hillingdon
33984,2,0,Merton
33985,9,0,Lambeth
33986,1,0,Hertsmere
33987,47,1,Croydon
33988,15,0,Southwark
33989,60,0,Brent
33990,20,1,Greenwich
33991,16,1,Haringey
33992,2,1,Hounslow
33993,38,1,Woking
33994,13,1,Sutton
33995,2,0,Redbridge
33996,67,0,Wandsworth
33997,21,0,Croydon
33998,28,1,Islington
33999,11,1,Brent
34000,16,1,Sutton
34001,41,0,Harrow
34002,14,1,Newham
34003,55,1,Redbridge
34004,68,0,Kensington and Chelsea
34005,2,0,Reigate and Banstead
34006,63,0,Hackney
34007,43,0,Merton
34008,43,1,Redbridge
34009,13,1,Runnymede
34010,77,1,Harrow
34011,28,1,Hammersmith & Fulham
34012,27,0,Islington
34013,5,1,Lambeth
34014,13,0,Croydon
34015,52,1,Lewisham
34016,24,1,Greenwich
34017,71,1,Bromley
